"","ci_n_avg_lows_rade","ci_n_avg_ups_rade","ci_h_avg_lows_rade","ci_h_avg_ups_rade","ci_c_avg_lows_rade","ci_c_avg_ups_rade","cs_avg_lows_rade","cs_avg_ups_rade","ci_n_avg_size_rade","ci_h_avg_size_rade","ci_c_avg_size_rade","cs_avg_size_rade","ci_n_miscov_rade","ci_h_miscov_rade","ci_c_miscov_rade","cs_miscov_rade","ci_n_avg_lows_unif","ci_n_avg_ups_unif","ci_h_avg_lows_unif","ci_h_avg_ups_unif","ci_c_avg_lows_unif","ci_c_avg_ups_unif","cs_avg_lows_unif","cs_avg_ups_unif","ci_n_avg_size_unif","ci_h_avg_size_unif","ci_c_avg_size_unif","cs_avg_size_unif","ci_n_miscov_unif","ci_h_miscov_unif","ci_c_miscov_unif","cs_miscov_unif"
"1",-0.166641590131179,0.162161590131179,-0.124627341534041,0.120147341534041,-0.0338466710891184,0.0293666710891184,-0.363356366063808,0.358876366063808,0.328803180262359,0.244774683068082,0.0632133421782369,0.722232732127617,0.1,0.201,0.76,0,-0.0941132072034282,0.0957958552704928,-0.121546017500509,0.123228665567573,-0.0174139533931235,0.0190966014601881,-0.360275042030276,0.361957690097341,0.189909062473921,0.244774683068082,0.0365105548533115,0.722232732127617,0.108,0.034,0.752,0
"2",-0.166062949116299,0.161112454066794,-0.124255203962055,0.11930470891255,-0.033769364884106,0.0288188698346011,-0.361874159397586,0.356923664348081,0.327175403183093,0.243559912874605,0.0625882347187071,0.718797823745666,0.123,0.243,0.76,0,-0.0933437701804147,0.095624230431873,-0.120639726311573,0.122920186563031,-0.0169344378682275,0.0192148981196859,-0.358258681747104,0.360539141998562,0.188968000612288,0.243559912874605,0.0361493359879134,0.718797823745666,0.115,0.038,0.784,0
"3",-0.164492841082833,0.161081076376951,-0.122887407864319,0.119475643158436,-0.0326937909905836,0.0292820262847013,-0.359412141435826,0.356000376729944,0.325573917459784,0.242363051022755,0.0619758172752849,0.715412518165771,0.123,0.243,0.795,0,-0.0927395367717855,0.0953190471006385,-0.119891770346951,0.122471280675804,-0.0166095356050282,0.0191890459338811,-0.356416503918459,0.358996014247312,0.188058583872424,0.242363051022755,0.0357985815389093,0.715412518165771,0.121,0.041,0.806,0
"4",-0.16402666205373,0.159948992150817,-0.12263066584164,0.118552995938727,-0.0327245685748915,0.0286468986719788,-0.358076648036762,0.353998978133849,0.323975654204547,0.241183661780367,0.0613714672468703,0.712075626170611,0.131,0.274,0.795,0,-0.0919023560911924,0.0952119770400625,-0.118937020415748,0.122246641364618,-0.0160679427913621,0.0193775637402321,-0.35438300261087,0.357692623559741,0.187114333131255,0.241183661780367,0.0354455065315942,0.712075626170611,0.124,0.041,0.823,0
"5",-0.163147829264085,0.15926321387947,-0.121952969749773,0.118068354365157,-0.032332677623778,0.0284480622391626,-0.356335306786208,0.352450691401592,0.322411043143555,0.24002132411493,0.0607807398629406,0.7087859981878,0.131,0.274,0.827,0,-0.0915392330866853,0.0946991913360642,-0.118430682932776,0.121590641182155,-0.0159747998880798,0.0191347581374587,-0.352813019969211,0.355972978218589,0.186238424422749,0.24002132411493,0.0351095580255385,0.7087859981878,0.129,0.044,0.84,0
"6",-0.162087138373739,0.158772852659453,-0.12109495838819,0.117780672673905,-0.0317569466779778,0.0284426609636921,-0.354428404159099,0.351114118444813,0.320859991033191,0.238875631062095,0.06019960764167,0.705542522603913,0.148,0.286,0.827,0,-0.0912292855645583,0.094182769000948,-0.117961073812853,0.120914557249242,-0.0159167215505315,0.0188702049869212,-0.351294519583761,0.354248003020151,0.185412054565506,0.238875631062095,0.0347869265374528,0.705542522603913,0.138,0.045,0.854,0
"7",-0.161351294501691,0.157992803935653,-0.120552339846523,0.117193849280485,-0.0314951992751349,0.0281367087090972,-0.352851307365732,0.349492816799694,0.319344098437344,0.237746189127008,0.0596319079842321,0.702344124165426,0.148,0.286,0.864,0,-0.090830614457064,0.0937178818983858,-0.117429460842843,0.120316728284165,-0.0157869633173735,0.0186742307586954,-0.349728428362052,0.352615695803374,0.18454849635545,0.237746189127008,0.0344611940760689,0.702344124165426,0.14,0.048,0.872,0
"8",-0.16083154130066,0.15701845718851,-0.120222850914326,0.116409766802176,-0.0314439970155722,0.0276309129034227,-0.351501423286731,0.347688339174581,0.31784999848917,0.236632617716502,0.0590749099189949,0.699189762461312,0.157,0.306,0.864,0,-0.0901544562960853,0.0935378721926091,-0.116624600909989,0.120008016806513,-0.015378620524069,0.0187620364205929,-0.347903173282394,0.351286589178918,0.183692328488694,0.236632617716502,0.0341406569446619,0.699189762461312,0.145,0.048,0.886,0
"9",-0.159966447552186,0.156410891996631,-0.119545052077913,0.115989496522357,-0.0310419496967514,0.0274863941411958,-0.349816993018981,0.346261437463425,0.316377339548817,0.23553454860027,0.0585283438379472,0.696078430482406,0.157,0.306,0.881,0.001,-0.0895293673258152,0.0932836019921132,-0.115890156966986,0.119644391633284,-0.0150326593618801,0.0187868940281781,-0.346162097908054,0.349916332574352,0.182812969317928,0.23553454860027,0.0338195533900583,0.696078430482406,0.147,0.049,0.899,0
"10",-0.159339088609003,0.155595969342948,-0.11909737233267,0.115354253066615,-0.0308683885837109,0.0271252693176559,-0.34837613625952,0.344633016993465,0.314935057951951,0.234451625399285,0.0579936579013668,0.693009153252986,0.157,0.321,0.881,0.001,-0.0889992093289442,0.0929704806751221,-0.115240177026554,0.119211448372732,-0.0147687517538638,0.0187400231000417,-0.344518940953404,0.348490212299582,0.181969690004066,0.234451625399285,0.0335087748539055,0.693009153252986,0.153,0.051,0.906,0
